world_cup_year,home_team,away_team,home_goals,away_goals,match_outcome,goal_diff,home_host_advantage,home_strength,away_strength,stage,home_recent_form,away_recent_form,home_h2h,away_h2h
1966,Portugal,Russia,2,1,H,1,0,0.8,0.5714285714285714,1,0.6666666666666666,0.6666666666666666,0,0
1966,England,Germany,4,2,H,2,1,0.3684210526315789,0.5925925925925926,1,1.0,1.0,0,0
1970,Mexico,Russia,0,0,D,0,1,0.0588235294117647,0.5333333333333333,1,0.3333333333333333,0.3333333333333333,0,0
1970,Bulgaria,Peru,2,3,A,-1,0,0.0,0.0,1,0.0,0.16666666666666666,0,0
1970,England,Romania,1,0,H,1,0,0.4,0.2,1,1.0,0.16666666666666666,0,0
1970,Israel,Uruguay,0,2,A,-2,0,0.5,0.6,1,0.5,0.5,0,0
1970,Belgium,El Salvador,3,0,H,3,0,0.0,0.5,1,0.16666666666666666,0.5,0,0
1970,Brazil,Czech Republic,4,1,H,3,0,0.625,0.4210526315789473,1,0.3333333333333333,0.6666666666666666,2,0
1970,Germany,Morocco,2,1,H,1,0,0.5714285714285714,0.5,1,0.6666666666666666,0.5,0,0
1970,Italy,Sweden,1,0,H,1,0,0.6,0.5,1,0.3333333333333333,0.6666666666666666,0,1
1970,Belgium,Russia,1,4,A,-3,0,0.1428571428571428,0.5,1,0.5,0.16666666666666666,0,0
1970,Czech Republic,Romania,1,2,A,-1,0,0.4,0.1666666666666666,1,0.3333333333333333,0.16666666666666666,1,0
1970,Italy,Uruguay,0,0,D,0,0,0.6190476190476191,0.6190476190476191,1,0.3333333333333333,0.5,0,0
1970,Morocco,Peru,0,3,A,-3,0,0.0,0.3333333333333333,1,0.3333333333333333,0.3333333333333333,0,0
1970,Brazil,England,1,0,H,1,0,0.6363636363636364,0.4285714285714285,1,0.3333333333333333,1.0,1,0
1970,Bulgaria,Germany,2,5,A,-3,0,0.0,0.5862068965517241,1,0.0,0.6666666666666666,0,0
1970,Israel,Sweden,1,1,D,0,0,0.0,0.4705882352941176,1,0.3333333333333333,0.3333333333333333,0,0
1970,Mexico,El Salvador,4,0,H,4,1,0.0555555555555555,0.0,2,0.3333333333333333,0.3333333333333333,0,0
1970,Brazil,Romania,3,2,H,1,0,0.6470588235294118,0.2857142857142857,1,0.6666666666666666,0.3333333333333333,0,0
1970,El Salvador,Russia,0,2,A,-2,0,0.0,0.5294117647058824,1,0.16666666666666666,0.5,0,0
1970,Germany,Peru,3,1,H,2,0,0.6,0.5,1,0.6666666666666666,0.6666666666666666,0,0
1970,Sweden,Uruguay,1,0,H,1,0,0.4444444444444444,0.5909090909090909,1,0.16666666666666666,0.5,0,1
1970,Bulgaria,Morocco,1,1,D,0,0,0.0,0.0,1,0.0,0.16666666666666666,0,0
1970,Czech Republic,England,0,1,A,-1,0,0.3809523809523809,0.4090909090909091,1,0.0,0.6666666666666666,0,0
1970,Israel,Italy,0,0,D,0,0,0.0,0.5909090909090909,1,0.3333333333333333,0.5,0,0
1970,Mexico,Belgium,1,0,H,1,1,0.1052631578947368,0.125,1,0.6666666666666666,0.3333333333333333,0,0
1970,Brazil,Peru,4,2,H,2,0,0.6571428571428571,0.4,1,1.0,0.6666666666666666,0,0
1970,England,Germany,2,3,A,-1,0,0.4347826086956521,0.6129032258064516,1,0.6666666666666666,1.0,1,0
1970,Mexico,Italy,1,4,A,-3,1,0.15,0.5652173913043478,1,0.8333333333333334,0.6666666666666666,0,0
1970,Russia,Uruguay,0,1,A,-1,0,0.5555555555555556,0.5652173913043478,1,0.8333333333333334,0.5,1,0
1970,Brazil,Uruguay,3,1,H,2,0,0.6666666666666666,0.5833333333333334,1,1.0,0.5,0,1
1970,Germany,Italy,3,4,A,-1,0,0.625,0.5833333333333334,1,1.0,0.6666666666666666,0,0
1970,Germany,Uruguay,1,0,H,1,0,0.6060606060606061,0.56,1,0.6666666666666666,0.3333333333333333,1,0
1970,Brazil,Italy,4,1,H,3,0,0.6756756756756757,0.6,1,1.0,0.8333333333333334,0,1
1974,Brazil,Serbia,0,0,D,0,0,0.6842105263157895,0.4736842105263157,1,1.0,0.3333333333333333,1,1
1974,DR Congo,Scotland,0,2,A,-2,0,0.5,0.0,1,0.5,0.16666666666666666,0,0
1974,German DR,Australia,2,0,H,2,0,0.5,0.5,1,0.5,0.5,0,0
1974,Germany,Chile,1,0,H,1,0,0.6176470588235294,0.4666666666666667,1,0.6666666666666666,0.16666666666666666,0,1
1974,Italy,Haiti,3,1,H,2,0,0.5769230769230769,0.5,1,0.6666666666666666,0.5,0,0
1974,Poland,Argentina,3,2,H,1,0,0.0,0.5,1,0.3333333333333333,0.5,0,0
1974,Sweden,Bulgaria,0,0,D,0,0,0.4736842105263157,0.0,1,0.5,0.16666666666666666,0,0
1974,Uruguay,Netherlands,0,2,A,-2,0,0.5384615384615384,0.0,1,0.3333333333333333,0.16666666666666666,0,0
1974,Chile,German DR,1,1,D,0,0,0.4375,1.0,1,0.16666666666666666,0.6666666666666666,0,0
